ID,time,category,location,sublocation,description,disposition
2109220001,00:33,"With Subjects","Sir Francis Drake Bl",N/A,"","Service Provided."
2109220002,01:21,"Citizen Assist","Cascade Dr",N/A,"RP reporting her husband took her morphine pills and is abusing her. RP requesting an officer to help locate husband.","Service Provided."
2109220004,01:57,"Public Intoxication","Bolinas Rd",N/A,"Subject booked into Marin County Jail for public intoxication.","Service Provided."
2109220011,06:11,"Danger to Self/Others/Gravely Disabled","Sir Francis Drake Bl","Victory Village","RP at the front lobby requesting to speak to an officer. RPs vehicle was being worked on at the Marin Automotive and RP feels like they overcharged him.","Service Provided."
2109220012,07:33,"Hit & Run Property Damage only","Taylor Dr",N/A,"Occurred yesterday sometime between 1400-1500hrs. RP believes it was COMCAST that damaged her vehicle. they were replacing a pole right next to her vehicle. White paint and damage to the front fender and door.","Handled by Phone."
2109220020,09:41,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2109220023,10:15,"Bicycle Traffic Stop","Cascade Dr/Bolinas Rd",N/A,"Bicyclists warned for a traffic sign violation.","Verbal Warning."
2109220026,10:58,"Traffic Hazard","Sir Francis Drake Bl","Way Station","DPW advised of a stalled semi blocking. Vehicles going onto other lane of traffic.","Service Provided."
2109220027,11:34,"911 HANG UPS / MISDIALS / ETC","Cascade Dr",N/A,"VIA 911. RP reporting an SOS call from a Subaru crosstreck. Unable to get a hold of caller.","Handled by Phone."
2109220028,11:34,"Welfare Check","Sir Francis Drake Bl","Split Rock Tap And Wheel","Near the loading doc in the alley way. Male subject hunched over possibly under the influence. Male wearing a black jacket and blue jeans has a bike with him.","Service Provided."
2109220034,12:48,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2109220035,12:53,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2109220038,14:29,"Any civil problem","Bolinas Rd","Police Department","RP at the front counter for advice on a civil matter. (Spanish speaking).","Service Provided."
2109220045,16:00,"Meet the Citizen","Bolinas Rd","Police Department","RP requesting to speak with an Officer regarding FP21-0593.","Advice Given."
2109220050,16:49,"Vandalism","Lansdale Av",N/A,"RP reported someone deficated all over the side of RP's residence along with RP's trash can. RP requesting a report and Xpatrol during the night hours.","Advice Given."
2109220053,18:15,"Found Property","Bank St","Rudy Contratti Field","RP turned in a found black Iphone at Rudy Contrati field.","Log Entry Only."
2109220057,19:38,"Citizen Assist","Bolinas Rd","Police Department","RP is trying to reach her dad at the CARE MERIDIAN and staff is not allowing her or giving her any info.","Service Provided."
2109220059,21:12,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2109230007,06:01,"Citizen Assist","Cascade Dr",N/A,"RP requesting a 10-21. RP did not want to provide location, stated she needs to talk to an officer. RP is losing her voice.","Advice Given."
2109230008,07:07,"Citizen Assist","Bolinas Rd","Police Department","RP is at the FPD to retrieve his backpack in Safekeeping. Case FP21-0598, in BS-15.","Service Provided."
2109230012,08:42,"Chalking for Parking Enforcement","Downtown-Bolinas Rd/Broadway",N/A,"","Service Provided."
2109230014,08:54,"Abandoned Vehicle","Meernaa Av","Across From","Anonymous report of a vehicle parked in excess of 72 hours without moving.","Service Provided."
2109230015,08:54,"Abandoned Vehicle","Meernaa Av","Opposite Of","Anonymous report of a utility trailer parked in excess of 72 hours without moving.","Service Provided."
2109230020,11:30,"Fingerprinting","Bolinas Rd","Police Department","Live scan appointment.","Service Provided."
2109230021,11:43,"Theft","Scenic Rd","*** 10-21 Detail ***","RP reports her handicapped placcard is missing and presumed stolen. She wishes to file a report, so she may get a replacement from DMV.","Report Taken."
2109230025,12:55,"Footbeat","Downtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2109230027,13:20,"Suspicious Circumstances","Bothin Rd",N/A,"RP was just surprised by hearing her front door opening, when she looked out, she saw a man riding around in front of her house back & forth several times. Subject is a wma, grey hair, baseball cap, green fleece jacket nd dark colored pants. No description on the bicycle. Last seen going down Bothin Rd apx 5-10 ago.","GOA/UTL."
2109230039,15:38,"Parking Complaint","Scenic Rd",N/A,"RP reports a large construction truck parked leaving reduced clearance, that a passing fire engine could barely get through.","Service Provided."
2109230041,15:47,"Citizen Assist","Sir Francis Drake Bl","Bus Stop","RP fears she left her wallet at the bus station in front of Don's Market. She asks if we could check and see if it's laying there anywhere. wallet is yellow in color and has all the rp's ID etc.","GOA/UTL."
2109230051,19:02,"Vehicle Accident - Non Injury","Penny Ln",N/A,"RP advising vehicle was backed into, requesting officer to mediate information exchange.","Service Provided."
2109230054,20:02,"Welfare Check","Bolinas Rd","Naves Bar & Grill","RP advsing of a WFA with a cast, blue jeans, 5'5, walking barefoot in between naves and coffee roasters. RP stated she has been walking back and forth approximtely 20+ times.","Service Provided."
2109230058,21:43,"Footbeat","Rudy Contratti Field-Bank St",N/A,"","Extra Patrol."
2109230060,21:52,"Town Code Violation","Rear Of Peri Park-Park Rd",N/A,"Out with several subjects regarding a citizen complaint about music in the park.","Verbal Warning."
2109240001,00:02,"Footbeat","Dowtown-Bolinas Rd/Broadway",N/A,"","Extra Patrol."
2109240008,05:11,"Suspicious Vehicle","Claus Cir",N/A,"RP advising of a gray SUV parked that keeps turning its headlights on and off, RP finds it suspicious.","GOA/UTL."
